work_id,label,scope,confidence,reason
W2803695173,include,coastal,high,Hakai/Tula affil; kelp/otter coastal subsidy
W221861420,include,coastal,high,Hakai Institute affil; BC estuarine bivalve
W4312247145,include,coastal,high,Hakai/Tula affil; juvenile salmon coastal migration
W4388023596,include,coastal,high,Hakai/Tula affil; marine phoronid microbiome
W4401557023,include,coastal,high,Hakai/Tula affil; intertidal mussel epibionts
W4304890799,include,coastal,high,Hakai/Tula affil; kelp/seagrass nearshore ecology
W4409081502,include,coastal,high,Hakai/Tula affil; rainforest fjord watershed quality
W2512822554,include,coastal,high,Hakai/Tula affil; BC coastal sea otter/duck
W4386981221,include,coastal,high,Hakai/Tula affil; BC marine island bird communities
W2800497392,include,coastal,high,Hakai/Tula affil; oceanographic pH sensor
W3101953863,include,coastal,high,Hakai/Tula affil; BC seagrass epifaunal metacommunity
W4383619934,include,coastal,high,Hakai/Tula affil; Pacific oyster microbiome
W4387160061,include,coastal,high,Hakai Quadra affil; marine larval recruitment
W4296129099,include,coastal,high,Hakai Quadra affil; clam garden coastal study
W7134918768,include,coastal,high,Hakai/Tula affil; kelp/urchin marine ecosystem
W4366264269,include,coastal,high,Hakai/Tula affil; global marine kelp forests
W2914779985,include,coastal,high,Hakai/Tula affil; marine sea star collapse
W2888958070,include,coastal,high,"Hakai/Tula funder; BC coastal deglaciation, Calvert"
W2890007213,include,coastal,high,Hakai affil; BC marine heatwave fjord
W2900848656,include,coastal,high,Hakai/Tula affil; seagrass habitat mapping
W2888637988,include,coastal,high,Hakai/Tula affil; kelp microbiome
W4210766152,include,coastal,high,Hakai/Tula affil; coastal rainforest watershed carbon
W4210415100,include,coastal,high,Hakai/Tula affil; coastal paleoenvironment Vancouver Is
W4366590770,include,coastal,high,Hakai/Tula affil; marine eDNA fjord biodiversity
W4386692804,include,coastal,high,Hakai/Tula affil; marine dinoflagellate study
W2547066961,include,coastal,high,Hakai/Tula funder; clam garden human-ocean systems
W2043034446,include,coastal,high,Hakai Beach Institute Calvert affil; coastal sea level
W2282603045,include,coastal,high,Hakai affil; Heiltsuk-herring coastal study
W2898331420,include,coastal,high,Hakai Calvert affil; kelp remote sensing
W2768610320,include,coastal,high,Hakai Calvert affil; marine community assessment
W2288229159,include,coastal,high,Hakai/Tula affil; coastal BC ecosystem regionalization
W2563823566,include,coastal,high,Hakai/Tula affil; sea otter/abalone marine ecology
W2738821706,include,coastal,high,Hakai/Tula affil; coastal salmon weir monitoring
W2773109973,include,coastal,high,Hakai/Tula affil; seagrass sea otter foraging
W2941948888,include,coastal,high,Hakai Calvert affil; intertidal sea star disease
W4378086011,include,coastal,high,"Hakai Institute affiliation + Tula funder, salmon eDNA"
W3095380646,include,coastal,high,"Hakai/Tula funder + affiliation, BC coastal nutrients"
W2482784780,include,coastal,high,"Hakai Calvert Island affiliation, kelp biology"
W2549139800,include,coastal,high,"Hakai funder + Calvert Island affiliation, shore mapping"
W4319794143,include,coastal,high,"Hakai funder + affiliation, marine zooplankton"
W4381715102,include,coastal,high,"Hakai funder + affiliation, marine sea lice viruses"
W4392559298,include,coastal,high,"Hakai funder + affiliation, kelp remote sensing"
W4389135497,include,coastal,high,"Hakai Quadra affiliation + funder, marine flatworms"
W4401475855,include,coastal,high,"Hakai funder + affiliation, marine gregarines"
W4414849152,include,coastal,high,"Hakai affiliation + Tula funder, marine heatwaves"
W4415790491,include,coastal,high,"Hakai funder + affiliation, urchin marine biology"
W2033653357,include,coastal,high,"Hakai Network + Tula funder, estuarine ecology"
W2132600192,include,coastal,high,"Hakai Institute affiliation + Tula funder, salmon streams"
W4400280008,include,coastal,high,"Hakai funder + affiliation, marine microturbellarians"
W4295048298,include,coastal,high,"Hakai affiliation + Tula funder, marine subsidies islands"
W4308450609,include,coastal,high,"Hakai funder + affiliation, fjord hypoxia"
W4408432967,include,coastal,high,"Hakai affiliation + Tula funder, marine carbonate system"
W4387950898,include,coastal,high,"Hakai affiliation + Tula funder, eelgrass meadows"
W4392234731,include,coastal,high,"Hakai BioBlitz on Calvert Island, funder + affiliation"
W3203180345,include,coastal,high,"Hakai affiliation + funder, salmon otolith marine entry"
W4244084804,include,coastal,high,"Hakai/Tula affiliation + funder, coastal nutrients preprint"
W4394695755,include,coastal,high,"Hakai funder + affiliation, kelp blue carbon"
W4389498202,include,coastal,high,"Hakai funder + affiliation, sugar kelp microbiome"
W2785486506,include,coastal,high,"Hakai/Tula funder, BC coastal mammal marine subsidies"
W4220784110,include,coastal,high,"Hakai affiliation + funder, juvenile sockeye marine"
W4220798106,include,coastal,high,"Hakai affiliation + funder, coralline alga transcriptome"
W4407272050,include,coastal,high,"Hakai affiliation + funder, kelp forest urchins"
W2775462239,include,coastal,medium,"Hakai/Tula funder, Savary Island coastal dune dating"
W4408218110,include,coastal,high,"Hakai affiliation + funder, Pacific shelf hypoxia"
W4413285252,include,coastal,high,"Hakai affiliation + funder, Pacific shelf hypoxia"
W3209029998,include,coastal,medium,"Tula funder + Hakai affiliation, global carbon budget"
W2908996248,include,coastal,high,"Hakai Quadra field station affiliation + funder, Salish CO2"
W4213076607,include,coastal,high,"Hakai affiliation + Tula funder, fjord sediment plume"
W2945858019,include,coastal,high,"Hakai affiliation + funder, seagrass nursery function"
W2912065009,include,coastal,high,"Hakai affiliation + funder, salmon-forest birds"
W3116538249,include,coastal,high,"Hakai affiliation + funder, seagrass leaf microbiome"
W4378620104,include,coastal,medium,"Hakai affiliation + funder, richness estimator on seaweed"
W4404703170,include,coastal,high,"Hakai affiliation + funder, aquatic invertebrate soundscape"
W2883125140,include,coastal,high,"Hakai affiliation + funder, seaweed microbiome"
W2935931148,include,coastal,high,"Hakai affiliation + Tula funder, coastal aeolian dunes"
W3206542222,include,coastal,high,"Hakai affiliation + Tula funder, Pacific prokaryotes"
W3194761334,include,coastal,high,"Hakai Quadra affiliation + funder, sea otter archaeology"
W3040452934,include,coastal,medium,"Hakai/Tula funder, marine polychaete taxonomy"
W4283833423,include,coastal,high,"Hakai affiliation + funder, coastal organic matter"
W4382046040,include,coastal,high,"Hakai affiliation + Tula funder, coastal DOC transport"
W4388293525,include,coastal,high,"Hakai affiliation + funder, marine alveolates"
W4309409562,include,coastal,high,"Hakai/Tula funder, Fucus macroalga microbiome BC"
W2891839070,include,coastal,high,"Hakai affiliation + funder, macroalgae/seagrass calibration"
W4280503011,include,coastal,high,"Hakai funder + affiliation, stream silica export"
W4395678004,include,coastal,high,"Hakai affiliation + funder, dinoflagellate evolution"
W2948307042,include,coastal,high,"Hakai affiliation + funder, salmon carcasses watersheds"
W4285391002,include,coastal,high,"Hakai affiliation + funder, coralline alga transcriptome"
W4387296626,include,coastal,high,"Hakai Quadra affiliation + Tula funder, marine climate"
W4317751790,include,coastal,high,"Hakai affiliation + Tula funder, eelgrass dynamics"
W4281689037,include,coastal,high,"Hakai/Tula funder, tardigrade near Calvert field station"
W4392626926,include,coastal,high,"Hakai affiliation + funder, deep-ocean heterotrophs"
W4206096299,include,coastal,high,"Hakai Calvert affiliation + funder, coastal rainforest"
W4323314633,include,coastal,high,"Hakai affiliation + funder, moon jellyfish trophic ecology"
W2788508156,include,coastal,high,"Hakai Quadra affiliation + funder, ancient rockfish DNA"
W3091409455,include,coastal,high,"Hakai Quadra affiliation + funder, coastal dog diets"
W3003538079,include,coastal,high,"Hakai Calvert affiliation + funder, shellfish subsidies"
W3105667875,include,coastal,high,"Hakai affiliation + Calvert, seagrass plant defence"
W3157665763,include,coastal,high,"Hakai/Tula affiliation, Kwakshua Watersheds Observatory"
W4286250575,include,coastal,high,"Hakai affiliation + funder, island marine subsidies"
W3162058524,include,coastal,high,"Hakai affiliation + funder, coastal BC rainforest"
W3196048891,include,coastal,high,"Hakai affiliation + Tula funder, salmon riparian insects"
W4297998242,include,coastal,medium,"Tula funder + Hakai affiliation, global carbon budget"
W3196436903,include,coastal,high,"Hakai affiliation + funder, Quadra Island paleoshorelines"
W4323294867,include,coastal,high,"Hakai Quadra lab affiliation + Tula funder, humpback whale"
W4280627090,include,coastal,high,"Hakai affiliation + funder, ancient Indigenous fisheries"
W3082493837,include,coastal,high,Hakai funder/inst tie; BC juvenile salmon sea lice
W4296060440,include,coastal,high,"Hakai Institute coastal watershed hydrometeorology, BC"
W4200206380,include,coastal,high,"Hakai Institute coastal streamflow preprint, BC"
W4281479282,include,coastal,high,Hakai Quadra Island coastal shell-midden archaeology
W4311565692,include,coastal,high,Hakai data scientists salmon data strategy report
W4229051633,include,coastal,medium,"Hakai funder/inst; ecology methods, BC biodiversity"
W3167949949,include,coastal,high,Hakai funder/inst; BC salmon pathogen
W3026469212,include,coastal,high,Hakai/Tula funder; Koeye estuary fish dissertation
W4224691530,include,coastal,high,"Hakai Juvenile Salmon Program report, BC"
W4237068569,include,coastal,medium,Hakai affiliation; sea otter estuary peer review
W2948574679,include,coastal,high,Hakai Calvert Island affiliation; microplastics
W2098635935,include,coastal,high,Hakai Beach Institute; BC coastal Indigenous ecology
W2884670852,include,coastal,high,Hakai funder/inst; BC rocky reef sea otters
W2905213451,include,coastal,medium,Hakai/Tula funder; WNA glacier mass change
W2791249411,include,coastal,high,Hakai inst/funder; BC wildlife management science
W2767322159,include,coastal,high,Hakai inst; BC kelp surface bacteria
W2689247313,include,coastal,high,Hakai inst; BC coastal bear-salmon isotopes
W4407251902,include,coastal,high,Hakai funder/inst; global seafloor imagery compilation
W4408580231,include,coastal,high,Hakai/Tula funder/inst; Pacific blue carbon stocks
W4411036942,include,coastal,high,Hakai funder/affil; Canada kelp blue carbon
W2766910127,include,coastal,high,Hakai Calvert Island inst; BC biodiversity threats
W2898879852,include,coastal,high,Hakai/Tula funder; NPCTR coastal soil carbon
W2969612705,include,coastal,high,Hakai Institute affiliation; coastal social-ecological resilience
W1986262956,include,coastal,high,Tula funder; BC marine archipelago wolves
W2115384108,include,coastal,medium,Hakai/Tula funder; BC grizzly bear management
W2606269630,include,coastal,high,Hakai inst; N Pacific pteropod time series
W2808456457,include,coastal,high,Hakai/Tula affiliation; BC eelgrass blue carbon
W2424161488,include,coastal,high,Hakai funder/inst; sea otter trophic cascade
W2570131007,include,coastal,high,Hakai affiliation; BC coastal sand grain shape
W2893650386,include,coastal,high,Hakai Calvert Island inst; coralline algae
W2954261501,include,coastal,high,Hakai inst/funder; BC zooplankton phenology
W2567372134,include,coastal,high,Hakai inst/funder; oil sands marine review
W4409439882,include,coastal,high,Hakai Quadra inst; BC glacial flood sediment to sea
W2214219043,include,coastal,high,Hakai inst; red algae and kelp biomechanics
W2541245113,include,coastal,high,Hakai Calvert inst; BC coastal rainforest fire history
W4406774958,include,coastal,high,Hakai/Tula funder; NE Pacific seagrass wasting disease
W4408320222,include,coastal,high,Hakai inst; Haida Gwaii fjord oxygen oceanography
W4412427136,include,coastal,high,Hakai affiliation; ocean acidification eDNA
W2774708186,include,coastal,high,Hakai inst; Calvert Island sea-level landscape
W2950882391,include,coastal,high,Hakai inst/funder; surfgrass sediment colonization
W2969290350,include,coastal,high,Hakai Calvert Marine Station BioBlitz ascidians
W2957036621,include,coastal,high,Hakai/Tula funder; clam gardens bivalve production
W4393975461,include,coastal,medium,Hakai funder/inst; marine working-groups commentary
W4410832066,include,coastal,high,Hakai inst/funder; sugar kelp bacterial community
W2771528494,include,coastal,high,Hakai inst; coastal BC optical dating sediments
W4401507969,include,coastal,medium,Hakai funder/inst; brine shrimp microbiome study
W2767194167,include,coastal,high,Hakai/Tula funder; Quadra clam archaeology dissertation
W4390766258,include,coastal,medium,Hakai funder/inst; California marine sponge taxonomy
W4409344968,include,coastal,high,Hakai inst/funder; BC marine gregarine parasites
W2160378028,include,coastal,medium,Hakai/Tula funder; BC central coast carbon-timber
W4298315631,include,coastal,high,"Hakai Juvenile Salmon Program report, BC"
W4406733118,include,coastal,high,Hakai inst/funder; Salish Sea Dungeness crab monitoring
W4410901339,include,coastal,high,Hakai inst/funder; St. Lawrence oxygen-carbon oceanography
W4417387055,include,coastal,high,Hakai inst/funder; ocean acidification herbivory
W4417436465,include,coastal,high,Hakai inst/funder; marine sedimentary ancient DNA
W7157103804,include,coastal,high,"Hakai-published CTD dataset, Calvert/Quadra waters"
W7161422302,include,coastal,high,Hakai/Tula funder; NPCTR river plume biogeochemistry
W7162130986,include,coastal,high,Hakai-published BC coastal UAV imagery dataset
W7163402671,include,coastal,high,Hakai-published underway seawater dataset
W7163422358,include,coastal,high,Hakai-published seawater CO2 hatchery dataset
W4308697725,include,coastal,medium,Tula funder; Hakai contributor on Global Carbon Budget
W4225004802,include,coastal,medium,Tula funder; Hakai contributor on Global Carbon Budget
W3164704062,include,coastal,medium,Tula funder; Hakai inst; Canada climate solutions
W3165070499,include,coastal,medium,Hakai/Tula funder; COVID lockdown environment
W4283216781,include,coastal,high,Hakai/Tula funder; Salish Sea heatwave shellfish
W3129048830,include,coastal,high,Hakai inst/funder; NE Pacific coastal satellite
W3210335525,include,coastal,high,Hakai inst; remote sensing of kelp forests
W3031841179,include,coastal,high,Hakai inst/funder; NW Coast clam gardens
W4224030119,include,coastal,high,Hakai Quadra inst/funder; sandy beach microbes
W4295240245,include,coastal,high,Hakai inst/funder; BC coastal restoration values
W3093940845,include,coastal,high,"Hakai Institute affiliation, Tula funder, marine consumption study"
W2994294264,include,coastal,high,"Hakai Institute Quadra affiliation, Tula funder, marine fisheries"
W3035932509,include,coastal,high,"Tula/Hakai affiliation, nearshore carbon flux, Calvert Island"
W2922990788,include,coastal,high,"Hakai Calvert Island affiliation, coastal rainforest study"
W3193043460,include,coastal,high,"Hakai affiliation and funder, coastal fisheries management"
W3025003861,include,coastal,high,"Hakai funder/affiliation, human-ocean systems, sea otters"
W4281569109,include,coastal,high,"Hakai Institute affiliation, BC fjord carbon flux"
W2917322120,include,coastal,high,"Hakai affiliation, Tula funder, sea otter niche study"
W4297381190,include,coastal,high,"Hakai funder/affiliation, BC phytoplankton bioregionalization"
W3093053151,include,coastal,high,"Hakai affiliation, Tula funder, seagrass microeukaryotes"
W3138143196,include,coastal,high,"Hakai affiliation, Tula funder, coastal BC bears"
W4229002794,include,coastal,high,"Hakai funder, Tula institution, BC sockeye salmon disease"
W4229365282,include,coastal,high,"Hakai funder/affiliation, kelp canopy remote sensing"
W3214828187,include,coastal,high,"Hakai affiliation, Tula funder, BC glacier dating"
W3197608326,include,coastal,high,"Hakai area seaweed records, Hakai affiliation/funder"
W4380758387,include,coastal,high,"Hakai/Tula funder and affiliation, marine dinoflagellate parasites"
W4214926578,include,coastal,high,"Hakai affiliation, Tula funder, marine CO2 system"
W2917945294,include,coastal,high,"Hakai Institute affiliation, NE Pacific ocean observing"
W4389703146,include,coastal,high,"Hakai/Tula funder, juvenile salmon estuary study"
W4285727350,include,coastal,high,"Tula funder/institution, ocean acidification fish study"
W4226266272,include,coastal,high,"Hakai affiliation, Tula funder, North Pacific copepod taxonomy"
W3207257508,include,coastal,high,"Hakai affiliation, Tula funder, BC copepod ecology"
W3145398228,include,coastal,high,"Hakai affiliation, Tula funder, intertidal macroalgae microbiota"
W3134490063,include,coastal,high,"Hakai/Tula funder, marine kinorhynch morphology"
W4386256281,include,coastal,medium,"Hakai/Tula funder, NW North America Indigenous plants"
W3206758691,include,coastal,high,"Hakai/Tula funder, marine kinorhynch nervous system"
W3049576264,include,coastal,high,"Hakai affiliation, Tula funder, BC intertidal archaeology"
W4285772462,include,coastal,high,Hakai Institute juvenile salmon program report
W3211387488,include,coastal,high,"Hakai affiliation, Tula funder, marine CO2 Inside Passage"
W2945754242,include,coastal,high,"Hakai/Tula funder, marine apicomplexan parasites"
W2997135582,include,coastal,medium,"Tula funder, Calvert, BC coastal palaeoenvironment dissertation"
W3137610961,include,coastal,high,"Hakai funder/affiliation, BC salmon stock conservation"
W4200244626,include,coastal,high,"Hakai affiliation, Tula funder, marine CO2 peer review"
W4200347725,include,coastal,high,"Hakai affiliation, Tula funder, marine CO2 peer review"
W4206527013,include,coastal,medium,"Hakai/Tula affiliated co-author, global carbon budget review"
W4212773890,include,coastal,high,"Hakai/Tula affiliation, NE Pacific coastal nutrients"
W4220875694,include,coastal,high,"Hakai/Tula affiliation, NPCTR hydrometeorology peer review"
W4296207299,include,coastal,high,"Hakai affiliation, Tula funder, marine metatranscriptomics"
W4301393836,include,coastal,medium,"Hakai/Tula affiliated co-author, carbon budget peer review"
W4306816501,include,coastal,medium,"Hakai affiliation, Tula funder, body-size biology"
W4313555558,include,coastal,medium,"Hakai affiliation, Tula funder, global glacier change"
W1990678305,include,coastal,medium,"Hakai/Tula affiliated co-author, Arctic sea ice ocean heat"
W2062068147,include,coastal,medium,"Tula funder, Calvert, Pacific coast sea-level change"
W4393851853,include,coastal,medium,"Hakai affiliation, Tula funder, climate-biodiversity-disease review"
W1975812408,include,coastal,high,"Hakai/Tula funder, Hakai postdoc, ecosystem services"
W1995192684,include,coastal,high,"Hakai/Tula funder, coastal BC bear-salmon system"
W4404259944,include,coastal,high,"Hakai/Tula affiliation, BC Indigenous hazelnut cultivation"
W4416192799,include,coastal,medium,"Hakai/Tula affiliated co-author, global carbon budget"
W4404462770,include,coastal,high,"Hakai funder/affiliation, land-ocean coastal rainforest review"
W4411624877,include,coastal,medium,"Hakai/Tula funder/affiliation, W Canada glacier mass loss"
W2150089601,include,coastal,high,"Hakai Beach Institute affiliation, Tula funder, wolf hormones"
W1991365709,include,coastal,medium,"Hakai/Tula funder, NW North America Indigenous communities"
W2152922435,include,coastal,high,"Hakai Calvert Island affiliation, coralline algae taxonomy"
W1530342044,include,coastal,high,"Hakai Institute affiliation, Tula institution, hunting study"
W4327654280,include,coastal,high,"Hakai affiliation/institution, Indigenous-science collaboration"
W2016300634,include,coastal,high,"Hakai Network funder/affiliation, coastal streams biofilm"
W4400615168,include,coastal,high,"Hakai Calvert Island affiliation, marine eDNA vs trawl"
W4391732900,include,coastal,high,"Hakai funder/affiliation, BC sea level histories"
W4392655486,include,coastal,high,"Hakai affiliation, Tula funder, marine worm parasites"
W4404470047,include,coastal,high,"Hakai/Tula affiliation, BC Indigenous hazelnut cultivation"
W4415007122,include,coastal,high,"Hakai area seaweed records, Hakai affiliation/funder"
W4367301713,include,coastal,high,"Hakai affiliation, Tula funder, BC coastal geo-archaeology"
W4390053443,include,coastal,medium,"Hakai affiliation, Tula funder, North American glaciers"
W4412446928,include,coastal,medium,"Hakai affiliation, Tula funder, glacier albedo mass loss"
W4407228437,include,coastal,high,"Hakai affiliation, Tula funder, Strait of Georgia acidification"
W4414744574,include,coastal,high,"Hakai affiliation, Tula funder, St. Lawrence ocean chemistry"
W4413170854,include,coastal,high,"Hakai affiliation, Tula funder, BC shelf dissolved oxygen"
W4400045903,include,coastal,high,"Hakai funder/affiliation, NE Pacific intertidal mariculture"
W4404689549,include,coastal,high,"Tula/Hakai affiliation, marine eDNA sampler evaluation"
W4405369262,include,coastal,high,"Hakai funder/affiliation, eelgrass meadow diversity"
W4417297618,include,coastal,high,Hakai funder + Hakai Institute affiliation; marine mammal study
W4404454441,include,coastal,high,Tula funder + Hakai affiliation; intertidal bivalve research
W4313750144,include,coastal,high,Hakai/Tula institutions; BC kelp forest heatwave study
W4315796880,include,coastal,high,Hakai funder + Quadra Island affiliation; salmon ocean data
W4317213717,include,coastal,high,Tula funder + Hakai affiliation; marine metatranscriptomics
W4392148318,include,coastal,high,Hakai/Tula institutions; marine invertebrate parasites
W4399752202,include,coastal,high,Hakai Ocean Observing eDNA protocol; Hakai affiliation
W4402101482,include,coastal,high,Hakai/Tula funder; Calvert Island tardigrade species
W4405675623,include,coastal,medium,Hakai/Tula funder; BC glacier cosmogenic-dating earth science
W4411728405,include,coastal,medium,Tula funder + Hakai affiliation; BC glacier melt study
W4412119879,include,coastal,high,Hakai/Tula funder; UBC marine flatworm mitogenomes
W4413800998,include,coastal,high,Tula funder + Hakai affiliation; ocean tracer measurements
W4413977553,include,coastal,medium,Tula funder + Hakai affiliation; ocean oxygen peer-review
W7124436788,include,coastal,high,Hakai/Tula funder + Hakai affiliation; marine endosymbionts
W7140495925,include,coastal,high,Hakai-published LiDAR dataset; coastal watersheds
W7155190361,include,coastal,high,Hakai affiliation; Quadra Island sea star study
W7161250439,include,coastal,high,Hakai funder + affiliation; Salish Sea diatom checklist
W7162136120,include,coastal,high,Hakai-published sensor network dataset; Central Coast
W7162285419,include,coastal,high,Hakai-published Calvert Island hyperspectral dataset
W7163399714,include,coastal,high,Hakai Quadra field station seawater CO2 dataset
W2344896533,include,coastal,high,Tula funder + Hakai affiliation; coastal climate observations
W2790185533,include,coastal,high,Hakai/Tula + Calvert affiliation; aquatic noise on fish
W2768725813,include,coastal,high,Hakai/Tula institutions; Antarctic krill marine study
W2591230632,include,coastal,high,Hakai/Tula + Quadra affiliation; coastal historical ecology
W2893213620,include,coastal,high,Hakai Quadra affiliation; nearshore microplastics in salmon
W2560706675,include,coastal,high,Hakai/Tula institutions; Southern Ocean export flux
W2605874660,include,coastal,high,Hakai/Tula institutions; Pacific tuna trophic ecology
W2588468583,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; coastal fisheries
W2791556023,include,coastal,high,Hakai/Tula institutions; Beaufort Sea ocean-ice study
W2795872094,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; whale shark tourism
W2891708286,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; salp life cycle
W2530997093,include,other_tula,medium,Hakai/Tula affiliated author; terrestrial cougar-conflict study
W2611569389,include,other_tula,medium,Hakai/Tula affiliated author; Australian mine restoration
W2597529839,include,other_tula,medium,Hakai/Tula + Heriot Bay author; trophy-hunting behaviour review
W2520203697,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; marine herring policy
W2793060643,include,coastal,medium,Hakai/Tula + Heriot Bay author; BC rainforest protists
W2808023225,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; Quadra sea-level history
W2317344475,include,coastal,high,Hakai Heriot Bay affiliation; lagoon nitrogen oceanography
W2593324384,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; Antarctic salp ecology
W2897067435,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; salp reproductive fitness
W2404833445,include,coastal,high,Hakai/Tula institutions; Antarctic carbon export oceanography
W2564000340,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; kelp fishery study
W2755448606,include,coastal,high,Hakai Calvert affiliation; BC coastal rainforest fire ecology
W2736780519,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; Mediterranean plankton
W2791102888,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; macroalgae microbiota
W2766896815,include,coastal,high,Hakai/Tula institutions; Mediterranean zooplankton study
W2880764917,include,coastal,high,Hakai/Tula institutions; Pacific herring ecosystem modelling
W2492962671,include,coastal,medium,Hakai/Tula + Campbell River author; Coast Salish coastal archaeology
W2617806280,include,coastal,high,Hakai/Tula funder; Pacific mud dragon named hakaiensis
W2599990254,include,coastal,high,Hakai/Tula + Hakai affiliation; herring egg survival
W3130891768,include,coastal,high,Hakai funder; BC marine protected area network design
W2626250492,include,coastal,medium,Hakai/Tula + Heriot Bay author; coastal rainforest floodplains
W2184225181,include,other_tula,medium,Hakai/Tula + Calvert author; Labrador alpine treeline study
W2607906812,include,other_tula,medium,Hakai/Tula affiliated author; Alberta landscape disturbance
W1886396121,include,coastal,high,Hakai/Tula institutions; Strait of Georgia larval fish
W4242234301,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; coastal climate communities
W2333740794,include,coastal,high,Hakai/Tula institutions; Pacific herring management
W2604170247,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; ocean acidification tech
W2781992479,include,coastal,high,Hakai/Tula + Heriot Bay affiliation; Alaska OA network
W2802475232,include,coastal,high,Tula funder + Hakai affiliation; Pacific metapopulation collapse
W2903462833,include,coastal,medium,"Tula funder + Calvert; microeukaryote primers, UBC marine"
W2799919686,include,coastal,medium,Hakai funder; BC coastal salmon eDNA dissertation
W2909149324,include,coastal,high,Tula funder + Hakai; Baynes Sound ocean acidification
W7131228527,include,coastal,high,Hakai-published BC drone imagery dataset
W7160608607,include,coastal,high,Hakai-published Calvert Island reef eDNA dataset
W7162066656,include,coastal,high,Hakai-published Bamfield coastal UAV imagery dataset
W7162096128,include,coastal,high,Hakai Quadra nearshore elevation/imagery dataset
W7162291458,include,coastal,high,Hakai-published Calvert study-area basemap dataset
W7162323470,include,coastal,high,Hakai-published Calvert Island DEM dataset
W7163366303,include,coastal,high,Hakai Burke-o-Lator Sitka seawater CO2 dataset
W2910448874,include,coastal,high,"Hakai Institute affiliation, marine krill research"
W2978692936,include,coastal,high,"Hakai/Tula provenance, blue economy marine review"
W2944630251,include,coastal,high,"Hakai affiliation, ocean acidification research"
W2940048539,include,coastal,high,"Hakai Quadra Island affiliation, kelp phylogeny"
W2944525769,include,coastal,high,"Hakai Quadra Island affiliation, coastal BC microplastics"
W2980798777,include,coastal,high,"Hakai affiliation, intertidal Salish Sea clam study"
W2990693149,include,coastal,high,"Hakai affiliation, estuarine microbial food webs"
W2954254870,include,coastal,medium,"funder_tula provenance, marine microeukaryote metabarcoding"
W2939324186,include,coastal,high,"Hakai Calvert Island affiliation, mussel endolith study"
