source_id,display_name,verdict,rationale,oa_publisher,oa_country,api_topics,doaj_title,doaj_publisher,doaj_country,flag_reason
S4210232099,Journal of Rehabilitation,KEEP,same journal (publisher-string variants / society-vs-press / platform),Negah Scientific Publisher,IR,Family and Disability Support Research; Health and Well-being Studies; Cerebral Palsy and Movement Disorders,Journal of Rehabilitation,University of Social Welfare and Rehabilitation Sciences,"Iran, Islamic Republic of",publisher_conflict
S4210236843,Selçuklu Medeniyeti Araştırmaları Dergisi,KEEP,same journal (publisher-string variants / society-vs-press / platform),Selcuklu Medeniyeti Arastirmalari Dergisi (SEMA),TR,History and Cultural Heritage; Eurasian Exchange Networks; Cultural and Sociopolitical Studies,Selçuklu Medeniyeti Araştırmaları Dergisi,Necmettin Erbakan University Press,Türkiye,publisher_conflict
S4210239041,Acta Politica Polonica,KEEP,same journal (publisher-string variants / society-vs-press / platform),University of Szczecin,PL,Local Governance and Planning; Polish Historical and Cultural Studies; Polish Law and Legal System,Acta Politica Polonica,Szczecin University Press,Poland,publisher_conflict
S4306530781,Sports Business Journal,UNLINK,US Sports Business Journal vs Alzahra University (IR) journal,,US,"Sports, Gender, and Society; Sport and Mega-Event Impacts; Sports Analytics and Performance",Sports Business Journal,Alzahra University,"Iran, Islamic Republic of",country_conflict
S4387281376,Kadim Akademi SBD,KEEP,same journal (publisher-string variants / society-vs-press / platform),Kadim Akademi (SBD),,Families in Therapy and Culture; Islamic Thought and Society Studies; Turkish Literature and Culture,Kadim Akademi SBD,Kadim Akademi Derneği,Türkiye,publisher_conflict
S4387285090,Sırat,KEEP,same journal (publisher-string variants / society-vs-press / platform),"""Faculty of Islamic Sciences, Gaziantep Islamic Science and Technology University""",,Islamic Thought and Society Studies; Families in Therapy and Culture; Turkish Literature and Culture,GİBTÜ İslami Araştırmalar Dergisi,Gaziantep Islam Science and Technology University,Türkiye,publisher_conflict
S4387287388,Legal Bulletin,UNLINK,KROK University (UA) Legal Bulletin vs MIAS Expert (RU) Legal Bulletin,KROK University,,"Legal and Regulatory Analysis; Linguistic, Cultural, and Literary Studies; Military Technology and Strategies",Legal Bulletin,LLC «MIAS Expert»,Russian Federation,publisher_conflict
S4387290991,IIMT Journal of Management,KEEP,same journal (publisher-string variants / society-vs-press / platform),Emerald (MCB UP),,Job Satisfaction and Organizational Behavior; Consumer Retail Behavior Studies; Workplace Spirituality and Leadership,IIMT Journal of Management,Emerald Publishing,United Kingdom,publisher_conflict
S4390296639,Journal of Modern Psychology,UNLINK,Zaporizhzhia (UA) J Modern Psychology vs Rahman Institute (IR) journal,Zaporizhzhia National University,,"Military Technology and Strategies; Legal and Regulatory Analysis; Linguistic, Cultural, and Literary Studies",Journal of Modern Psychology,Rahman Institute of Higher Education,"Iran, Islamic Republic of",publisher_conflict
S4404669631,Folia philologica.,KEEP,same journal (publisher-string variants / society-vs-press / platform),Gelʹvetika,UN,"Discourse Analysis and Cultural Communication; Ukrainian Cultural and Linguistic Studies; Language, Communication, and Linguistic Studies",Фізичне виховання та спорт,Zaporizhzhia National University,Ukraine,publisher_conflict
S4404677020,Nusa,UNLINK,Penerbit Mandalika (ID) law journal vs Atma Jaya/TUFS NUSA linguistics,Penerbit Mandalika Indonesia,IO,Legal Studies and Policies; Public Administration in Developing Nations; School Leadership and Teacher Performance,Nusa,"Universitas Katolik Indonesia Atma Jaya, Tokyo University of Foreign Studies",Japan,publisher_conflict;country_conflict
S5407036513,Current Clinical and Medical Education,UNLINK,European International Journal vs Anna Medical College (MU) journal,European International Journal of Multidisciplinary Research and Management Studies,,Innovations in Medical Education; Natural Antidiabetic Agents Studies; Curcumin's Biomedical Applications,Current Clinical and Medical Education,Anna Medical College,Mauritius,publisher_conflict
S5407049887,Journal of Linguistics and Language Teaching,UNLINK,Gema Cendekia (ID) JLLT vs self-published German JLLT,Gema Cendekia Institute,,Linguistics and Language Analysis; Language Acquisition and Education; Educational Methods and Media Use,Journal of Linguistics and Language Teaching,Journal of Linguistics and Language Teaching (Prof Thomas Tinnefeld),Germany,publisher_conflict
S5407050826,Ovidius University Annals Series Physical Education and Sport Science movement and health,KEEP,same journal (publisher-string variants / society-vs-press / platform),Universitatea Ovidius din Constanta,,Sports Performance and Training; Physical Education and Training Studies; Sports and Physical Education Research,"Ovidius University Annals, Series Physical Education and Sport/Science, Movement and Health",Ovidius University Press,Romania,publisher_conflict
S7407051290,Ancilla Iuris,KEEP,same journal (publisher-string variants / society-vs-press / platform),ZHAW Zürcher Hochschule für Angewandte Wissenschaften,,,Ancilla Iuris,Ancilla Iuris,Switzerland,publisher_conflict
S7407053441,Leaf Journal,KEEP,same journal (publisher-string variants / society-vs-press / platform),University of Lancaster,,,Leaf Journal,Elen Caldecott & Lucy Cuthew,United Kingdom,publisher_conflict
S7407057148,Pathos,UNLINK,Cordoba (AR) psychology Pathos vs Publiediting (IT) Pathos,"Facultad de Psicología, Universidad Nacional de Córdoba",,Psychological Treatments and Disorders; German Literature and Culture Studies; Psychology and Mental Health,Pathos,Publiediting,Italy,publisher_conflict
